"","year","Tavg_C"
"1",1988,39.2833333333333
"2",1989,36.85
"3",1990,41.85
"4",1991,42.5
"5",1992,37.15
"6",1993,41.25
"7",1994,39.8
"8",1995,35.85
"9",1996,38
"10",1997,37
"11",1998,42.1666666666667
"12",1999,38.8666666666667
"13",2000,36.7166666666667
"14",2001,37.55
"15",2002,39.85
"16",2003,34.9666666666667
"17",2004,40.6333333333333
"18",2005,41.7
"19",2006,41.8666666666667
"20",2007,36.2333333333333
"21",2008,43.6833333333333
"22",2009,41.0333333333333
"23",2010,45.2
"24",2011,40.6166666666667
"25",2012,39.85
"26",2013,37.35
"27",2014,38.65
